16290816 9019  1011 0 -inf 12
33062976 795  3324 3 -inf 2
16547844 785  2434 3 -inf 14
16547842 16657  1122 4 -inf 5
16289794 8465  3433 4 -inf 27
16289856 24593  1011 4 -inf 26
8163392 8465  2021 4 -inf 27
4100160 8217  2213 7 -inf 18
4096320 18  3344 7 -inf 34
4096257 80  1122 7 -inf 51
3838209 512  0102 8 -5 0
3330305 16  1314 8 -3 0
3330057 256  1424 8 -1 0
8164352 8893  2213 4 -inf 8
8160512 549  0102 5 -inf 5
7652608 53  1314 6 -inf 22
7652360 65  4232 6 -inf 27
7653384 1025  3233 7 -inf 42
7651400 65537  1121 8 -5 0
7520328 32  3344 8 -3 0
7520265 1024  4443 8 -1 0
16290816 262959  2212 2 -inf -2
16294912 621  4231 2 -inf 4
16359424 685  1213 4 -inf 23
16351488 169  3122 4 -inf 18
16290048 1161  2031 4 -inf 23
12161280 1037  2233 6 -inf 48
12157248 5  3334 8 -1 0
33062916 16688  2434 3.0 -inf 21.0
33062914 8496  0011 4 -inf -16
16547842 16688  3444 5 -inf -7
16547841 816  4142 5 -inf 11
16516097 776  1122 5 -inf 27
16258049 280  1011 5 -inf 28
8130625 16648  1112 5 -inf 30
7876673 16644  2010 5 -inf 29
12070977 16642  1011 5 -inf 30
3944513 16394  3324 7 -inf 52
3944453 512  2213 8 -5 0
3940613 16384  1303 8 -1 0
16548864 21039  1112 2.0 -inf 4.0
16294912 591  4231 2 -inf 6
16359424 95  3122 2 -inf 16
16297984 591  1202 2 -inf 14
16306176 839  2223 3 -inf -4
16302208 581  2313 5 -inf -15
16302336 582  4142 5 -inf 0
16270592 2566  4233 7 -inf 27
16269632 520  3324 8 -3 0
16269572 528  2414 8 -1 0
16289856 783  4142 2 -inf 21
16258112 791  4243 2 -inf 26
16257120 915  1011 2 -inf 26
8130656 917  3334 4 -inf 26
8130594 17040  3424 5 -inf 29
8130596 17152  2223 5 -inf 30
8126628 16912  1112 5 -inf 32
7872676 784  2021 5 -inf 34
3809444 536  2313 7 -inf 52
3809572 16408  1303 8 -5 0
3809828 16  1211 8 -3 0
4063780 8  0304 8 -1 0
24937472 17325  0010 0 -inf -12
20874240 17273  3031 0 -inf -8
18842624 17337  2122 0 -inf 10
18715648 17085  2213 4 -inf 18
18711808 89  0102 4 -inf 32
18203904 27  4233 6 -inf 30
18202944 58  3324 6 -inf 42
18202884 17  2433 7 -inf 16
